HH_ID,AGEGRP,AGEIMM,CF_RP,CFSTAT,CFSTRUCT,CIP2021,CITIZEN,CITOTH,CMA,EF_RP,EMPIN,HDGREE,WEIGHT
1,11,99,3,6,9,13,1,5,999,3,1,2,100.4176077
2,11,99,1,1,1,13,1,5,999,1,52000,2,100.111806
3,11,99,1,1,1,8,1,5,933,1,33000,4,100.4811749
4,8,6,1,2,2,1,2,8,535,1,96000,88,100.4176077
5,4,99,3,6,9,13,1,5,462,3,99999999,2,100.111806
6,11,6,1,2,2,8,2,5,535,1,99999999,7,100.4176077
7,7,99,1,1,1,5,1,5,999,1,100000,7,100.111806
8,9,99,1,2,2,13,1,5,999,1,65000,2,100.111806
9,6,99,2,4,2,9,1,5,999,2,99999999,8,100.1576517
10,7,99,1,1,1,2,1,5,999,1,63000,8,100.4176077
11,5,99,3,6,9,13,1,5,933,3,68000,2,100.4811749
12,8,99,1,3,3,1,1,5,462,1,49000,5,100.111806
13,6,99,1,2,2,5,1,5,535,1,61000,5,100.4176077
14,10,99,1,1,1,3,1,5,999,1,52000,5,100.4176077
15,5,99,1,2,2,13,1,5,999,1,4000,1,100.4176077
16,12,99,1,1,1,13,1,5,825,1,99999999,2,100.5951601
17,11,99,3,6,9,13,3,1,999,3,99999999,2,100.1576517
18,9,99,1,3,3,4,1,5,999,1,10000,5,100.4176077
19,10,99,2,2,2,13,1,5,999,2,35000,2,100.4279472
20,10,5,1,3,3,6,2,5,535,1,99000,7,100.4176077
21,7,99,1,1,1,13,1,5,825,1,77000,1,100.5951601
22,10,7,3,6,9,7,3,2,535,3,44000,5,100.4176077
23,88,7,1,88,8,88,3,3,535,1,11000,88,100.4176077
24,12,7,1,2,2,7,2,5,535,1,32000,7,100.4176077
25,13,99,3,6,9,13,1,5,835,3,99999999,2,100.5951601
26,11,1,1,1,1,13,2,5,999,1,99999999,2,99.97458425
27,13,4,1,1,1,8,2,5,933,1,99999999,3,100.4811749
28,13,3,1,1,1,5,2,2,462,1,99999999,7,100.111806
29,4,88,3,88,8,88,8,8,999,1,1,88,100.4176077
30,6,4,3,6,9,8,3,4,462,3,35000,5,100.111806
31,9,99,1,3,3,5,1,5,999,1,47000,5,100.4176077
32,11,99,3,6,9,13,1,5,535,3,99999999,2,100.4176077
33,12,99,3,6,9,13,1,5,462,3,99999999,2,100.111806
34,6,99,1,3,3,4,1,5,999,1,59000,7,100.4279472
35,13,5,3,6,9,13,2,5,999,3,99999999,1,100.4176077
36,13,99,2,1,1,6,1,5,999,2,99999999,8,100.17917
37,7,3,2,2,2,13,2,5,999,2,260000,1,100.5951601
38,9,99,3,6,9,13,1,5,999,3,56000,2,100.4176077
39,11,1,3,6,9,13,2,5,535,3,99999999,2,100.4176077
40,12,99,3,6,9,10,1,5,535,3,99999999,5,100.4176077
41,11,99,1,1,1,5,1,5,999,1,73000,5,101.0980052
42,13,6,3,6,9,13,2,4,535,3,99999999,2,100.4176077
43,12,99,3,6,9,10,1,5,999,3,99999999,5,100.4811749
44,12,99,1,1,1,13,1,5,999,1,18000,2,100.4176077
45,12,99,3,6,9,13,1,5,999,3,3000,2,100.1576517
46,5,3,1,2,2,88,2,5,825,1,14000,5,100.5951601
47,13,99,3,6,9,8,1,5,535,3,99999999,4,100.4176077
48,5,99,3,6,9,2,3,2,535,3,99999999,8,100.4176077
49,13,99,3,6,9,11,1,5,999,3,15000,3,100.4811749
50,13,99,1,3,3,13,1,5,462,1,99999999,1,100.111806
51,9,3,1,2,2,2,2,5,535,1,5000,7,100.4176077
52,5,99,1,3,3,5,1,5,999,1,58000,7,100.9644705
53,9,99,1,3,3,4,1,5,825,1,99999999,5,100.5951601
54,10,99,1,3,3,3,1,5,999,1,110000,7,100.4176077
55,13,99,1,1,1,13,1,5,999,1,99999999,1,100.111806
56,7,99,1,3,3,5,1,5,999,1,55000,3,100.4811749
57,10,8,1,2,2,5,2,4,462,1,120000,88,100.111806
58,11,99,1,1,1,13,1,5,999,1,82000,2,100.111806
59,11,99,1,2,2,5,1,5,535,1,22000,88,100.4176077
60,6,6,1,2,2,8,3,3,825,1,100000,7,100.5951601
61,11,8,3,6,9,1,2,5,535,3,26000,8,100.4176077
62,88,99,2,5,3,13,1,5,999,2,99999999,1,100.4176077
63,88,7,1,1,1,13,2,5,535,1,7000,88,100.4176077
64,13,99,3,6,9,13,1,5,999,3,99999999,2,100.4279472
65,6,99,1,2,2,9,1,5,999,1,120000,5,100.4811749
66,10,7,1,2,2,8,2,4,825,1,200000,7,100.5951601
67,10,99,1,2,2,10,1,5,825,1,1,7,100.5951601
68,12,99,3,6,9,13,1,5,999,3,99999999,2,100.9644705
69,5,99,3,6,9,13,1,5,999,3,56000,2,100.4176077
70,11,6,1,2,2,5,2,5,933,1,59000,88,100.4811749
71,88,88,3,7,9,88,8,8,999,3,5000,88,100.4176077
72,10,99,1,2,2,8,1,5,933,1,3000,7,100.4811749
73,10,99,1,2,2,8,1,5,999,1,77000,5,100.9644705
74,5,99,3,6,9,8,3,4,462,3,67000,7,100.111806
75,8,99,1,2,2,5,1,5,999,1,218074,5,100.111806
76,10,4,3,8,9,3,2,5,535,2,99999999,6,100.4176077
77,8,99,1,2,2,3,1,5,462,1,46000,8,100.111806
78,11,99,3,6,9,5,1,5,999,3,63000,5,100.1576517
79,7,99,3,8,9,8,1,5,999,1,7000,5,100.111806
80,8,99,1,3,3,13,1,5,999,1,36000,2,100.4176077
81,7,99,1,2,2,13,1,5,999,1,120000,2,100.17917
82,8,99,1,1,1,5,1,5,999,1,7000,3,100.111806
83,11,99,3,6,9,13,1,5,999,3,40000,2,100.111806
84,12,99,1,1,1,3,1,5,999,1,2000,7,100.4176077
85,13,99,3,6,9,3,1,5,462,3,99999999,5,100.111806
86,5,99,3,8,9,2,1,5,999,1,51000,5,100.4176077
87,10,99,1,2,2,13,1,5,999,1,93000,2,100.4176077
88,12,99,3,6,9,5,1,5,999,3,2000,5,100.5951601
89,5,5,3,6,9,5,3,4,933,3,47000,8,100.4811749
90,11,88,1,2,2,5,8,8,933,1,76000,7,100.4811749
91,11,99,1,1,1,13,1,5,999,1,1000,2,100.4176077
92,11,99,1,1,1,10,1,5,999,1,32000,5,100.4176077
93,9,99,1,2,2,13,1,5,999,1,58000,2,100.4176077
94,12,99,3,6,9,13,1,5,999,3,99999999,1,100.9644705
95,12,99,3,6,9,13,1,5,999,3,99999999,2,100.4176077
96,11,9,1,3,3,13,3,3,933,1,21000,1,100.4811749
97,5,99,1,2,2,5,1,5,462,1,79000,3,100.111806
98,13,99,1,2,2,8,1,5,462,1,99999999,8,100.111806
99,12,99,1,3,3,13,1,5,999,1,1000,2,100.4176077
100,7,99,3,6,9,13,1,5,999,3,99999999,1,100.17917
101,13,99,1,1,1,13,1,5,999,1,99999999,2,100.17917
102,13,6,1,2,2,8,2,5,999,1,1,8,100.4176077
103,11,6,1,2,2,7,2,2,535,1,59000,8,100.4176077
104,13,5,3,6,9,6,2,5,825,3,99999999,8,100.5951601
105,10,99,3,6,9,11,1,5,999,3,38000,3,100.111806
106,13,6,1,2,2,13,2,2,462,1,99999999,1,100.111806
107,7,6,1,1,1,7,2,3,535,1,82000,8,100.4176077
108,12,99,1,1,1,13,1,5,999,1,36000,1,100.5951601
109,8,99,1,2,2,8,1,5,999,1,97000,4,100.4811749
110,11,7,1,1,1,7,2,5,535,1,130000,7,100.4176077
111,8,5,1,1,1,4,2,2,535,1,11000,5,100.4176077
112,5,1,1,1,1,10,2,5,535,1,110000,8,100.4176077
113,8,8,3,6,9,2,3,3,535,3,99999999,7,100.4176077
114,10,8,1,2,2,10,2,5,535,1,19000,5,100.4176077
115,7,99,1,2,2,13,1,5,933,1,16000,1,100.4811749
116,11,99,3,6,9,13,1,5,462,3,32000,2,100.111806
117,11,99,1,2,2,13,1,5,999,1,61000,88,99.97458425
118,13,99,1,3,3,13,1,5,999,1,99999999,1,100.4176077
119,6,99,1,2,2,13,1,5,999,1,4000,2,100.111806
120,11,99,3,6,9,13,1,5,999,3,99999999,2,100.4176077
121,4,99,1,1,1,13,1,5,999,1,17000,2,100.4279472
122,11,8,1,1,1,9,2,5,933,1,60000,6,100.4811749
123,12,99,3,6,9,6,1,5,999,3,99999999,7,100.4176077
124,12,99,1,1,1,8,1,5,999,1,60000,5,100.4176077
125,11,99,1,2,2,8,1,5,999,1,140000,4,100.4811749
126,11,99,3,6,9,11,1,5,462,3,27000,3,100.111806
127,10,99,3,6,9,8,1,5,999,3,47000,3,100.111806
128,12,99,1,1,1,13,1,5,999,1,-7000,1,100.4176077
129,12,9,1,3,3,13,2,5,535,1,99999999,1,100.4176077
130,12,99,3,6,9,13,1,5,999,3,81000,2,100.4811749
131,11,7,1,3,3,8,2,5,535,1,99999999,7,100.4176077
132,12,99,1,1,1,13,1,5,999,1,99999999,1,100.4811749
133,10,1,3,6,9,13,2,5,535,3,71000,1,100.4176077
134,13,99,3,6,9,13,1,5,999,3,99999999,1,99.97458425
135,9,5,1,2,2,11,2,5,933,1,15000,88,100.4811749
136,9,8,2,1,1,13,3,3,835,2,15000,1,100.5951601
137,11,99,3,6,9,13,1,5,999,3,99999999,2,100.4176077
138,11,99,1,1,1,10,1,5,999,1,11000,5,100.111806
139,8,4,1,2,2,8,2,8,999,1,77000,4,100.5951601
140,12,99,1,2,2,88,1,5,999,1,6000,88,100.4176077
141,13,5,1,1,1,13,2,4,535,1,99999999,2,100.4176077
142,11,99,1,1,1,9,1,5,825,1,897502,7,100.5951601
143,12,99,2,1,1,13,1,5,999,2,99999999,2,100.4176077
144,11,99,1,2,2,11,1,5,999,1,26000,3,100.111806
145,13,10,1,1,1,10,2,5,999,1,99999999,8,100.4176077
146,8,6,1,2,2,1,2,3,535,1,59000,7,100.4176077
147,6,99,3,6,9,11,1,5,999,3,44000,5,100.4176077
148,12,7,1,1,1,13,2,5,999,1,1,1,100.4176077
149,12,10,1,3,3,13,2,5,535,1,99999999,2,100.4176077
150,7,99,1,3,3,7,1,5,999,1,14000,3,100.111806
151,10,8,1,2,2,8,2,5,835,1,130000,4,100.5951601
152,6,99,3,6,9,4,1,5,535,3,94000,7,100.4176077
153,5,99,1,2,2,8,1,5,999,1,61000,5,100.4176077
154,12,8,1,1,1,2,2,5,535,1,100000,5,100.4176077
155,11,99,1,1,1,6,1,5,999,1,-4000,8,100.4811749
156,88,99,1,3,3,13,1,5,999,1,19000,88,100.4176077
157,8,7,1,2,2,7,2,2,535,1,100000,5,100.4176077
158,11,88,1,2,2,8,8,8,535,1,38000,7,100.4176077
159,13,99,3,6,9,1,1,5,825,3,99999999,5,100.5951601
160,6,99,3,6,9,8,1,5,999,3,2000,3,100.5951601
161,9,99,1,2,2,4,1,5,535,1,140000,7,100.4176077
162,5,3,1,2,2,10,2,5,535,1,9000,5,100.4176077
163,11,7,1,2,2,11,2,2,999,1,23000,4,100.9644705
164,6,99,2,2,2,10,1,5,999,2,170000,5,100.4176077
165,9,3,1,2,2,13,2,3,999,1,23000,1,100.4811749
166,9,99,1,2,2,5,1,5,999,1,60000,6,100.4811749
167,13,9,3,6,9,13,2,5,933,3,99999999,1,100.4811749
168,9,99,1,3,3,10,1,5,462,1,78000,7,100.111806
169,8,88,1,2,2,13,8,8,999,1,99999999,2,100.9644705
170,6,99,3,7,9,13,1,5,825,3,58000,2,100.5951601
171,5,99,3,6,9,13,1,5,535,3,18000,2,100.4176077
172,11,5,1,1,1,13,2,2,462,1,21000,1,100.111806
173,6,1,1,2,2,8,2,4,462,1,57000,3,100.111806
174,12,8,3,6,9,13,2,3,999,3,99999999,2,100.4811749
175,6,5,1,3,3,5,2,3,835,1,61000,5,100.5951601
176,8,99,1,2,2,11,1,5,999,1,87000,3,100.111806
177,13,99,3,6,9,13,1,5,999,3,99999999,1,100.111806
178,8,99,1,1,1,13,1,5,999,1,63000,2,100.4176077
179,11,99,1,2,2,11,1,5,999,1,81000,3,100.5951601
180,9,7,1,2,2,10,2,4,462,1,44000,3,100.111806
181,5,99,1,2,2,5,1,2,999,1,13000,7,100.4176077
182,12,9,1,1,1,4,2,5,535,1,-50000,3,100.4176077
183,13,5,1,1,1,11,2,5,933,1,99999999,4,100.4811749
184,10,99,1,3,3,5,1,5,999,1,85000,7,100.111806
185,11,99,3,6,9,8,1,5,999,3,1,5,100.4811749
186,88,4,1,2,2,13,2,5,999,1,38000,1,100.4811749
187,11,99,1,1,1,5,1,5,462,1,21000,5,100.111806
188,12,99,1,1,1,5,1,5,462,1,1000,4,100.111806
189,88,99,1,2,2,5,1,5,999,1,55000,5,100.4176077
190,7,5,1,2,2,7,2,2,462,1,55000,8,100.111806
191,8,88,1,2,2,6,8,8,999,1,95000,7,100.9644705
192,9,5,3,6,9,10,3,2,999,3,18000,5,100.111806
193,12,99,3,6,9,8,1,5,535,3,5000,7,100.4176077
194,11,99,1,1,1,13,1,5,999,1,24000,1,100.4279472
195,6,99,3,7,9,13,1,5,999,3,17000,2,100.111806
196,11,99,1,1,1,13,1,5,999,1,99999999,2,100.4176077
197,4,99,3,6,9,5,3,4,999,3,8000,5,100.9644705
198,6,6,1,1,1,4,3,3,999,1,18000,8,100.4176077
199,11,99,3,6,9,13,1,5,999,3,57000,2,100.4811749
200,12,9,1,1,1,6,2,3,933,1,99999999,7,100.4811749
201,7,5,1,1,1,5,3,2,999,1,40000,5,100.111806
202,6,99,1,2,2,8,1,5,835,1,120000,5,100.5951601
203,11,99,3,6,9,4,1,1,999,3,99999999,8,100.4811749
204,5,5,1,3,3,5,3,3,825,1,99999999,5,100.5951601
205,88,88,1,2,2,88,8,8,535,1,67000,5,100.4176077
206,10,99,1,1,1,2,1,5,999,1,54000,5,100.4176077
207,11,99,1,1,1,5,1,5,462,1,99999999,5,100.111806
208,11,5,1,1,1,13,2,5,999,1,39000,1,100.4176077
209,12,3,1,1,1,10,2,3,999,1,99999999,8,100.4176077
210,9,99,1,2,2,5,1,8,999,1,44000,88,100.111806
211,10,99,2,5,3,13,1,5,462,2,60000,1,100.111806
212,8,99,1,2,2,5,1,5,999,1,110000,7,100.4176077
213,5,99,1,1,1,4,1,5,999,1,65000,5,100.111806
214,12,99,3,6,9,3,1,5,933,3,99999999,8,100.4811749
215,7,99,1,2,2,4,1,5,535,1,91000,7,100.4176077
216,88,88,1,2,2,1,8,8,999,1,62000,88,100.5951601
217,7,99,1,1,1,4,1,5,462,1,4000,5,100.111806
218,12,99,3,8,9,1,1,5,999,1,99999999,7,100.4176077
219,88,99,2,2,2,1,1,5,999,2,130000,88,100.5951601
220,12,99,3,6,9,13,1,5,999,3,1000,2,100.5951601
221,88,99,3,88,8,8,1,5,462,1,55000,88,100.111806
222,10,8,1,2,2,13,2,8,825,1,22000,2,100.5951601
223,6,99,1,2,2,5,1,5,999,1,140000,7,100.4176077
224,4,99,3,6,9,8,1,5,999,3,15000,7,100.111806
225,8,99,1,1,1,6,1,5,835,1,180000,7,100.5951601
226,7,99,1,3,3,11,1,5,999,1,99999999,3,99.97458425
227,11,99,1,1,1,4,1,5,999,1,3000,7,100.4176077
228,11,1,3,6,9,13,2,2,535,3,170000,2,100.4176077
229,12,6,1,1,1,13,3,2,999,1,40000,2,100.4811749
230,8,99,3,7,9,13,1,5,825,3,51000,2,100.5951601
231,88,99,2,2,2,88,1,5,999,2,150000,5,101.0980052
232,13,6,3,7,9,13,2,5,933,3,99999999,2,100.4811749
233,88,2,3,8,9,8,3,8,835,2,91000,4,100.5951601
234,13,99,3,6,9,3,1,5,999,3,99999999,7,100.5223781
235,5,99,3,7,9,3,1,1,825,3,42000,7,100.5951601
236,11,99,1,3,3,13,1,5,999,1,327975,1,100.1576517
237,10,99,1,1,1,13,1,5,933,1,180000,2,100.4811749
238,11,99,1,1,1,2,1,5,462,1,72000,8,100.111806
239,12,99,1,1,1,13,1,5,999,1,99999999,1,100.4176077
240,13,99,3,7,9,13,1,5,462,3,26000,2,100.111806
241,9,99,1,1,1,8,1,5,999,1,93000,5,100.4176077
242,12,99,3,6,9,13,1,5,999,3,1000,2,100.111806
243,11,99,3,6,9,13,1,5,462,3,2000,2,100.111806
244,7,99,2,5,3,13,1,1,999,2,110000,2,100.5951601
245,12,1,1,1,1,5,2,5,535,1,99999999,7,100.4176077
246,8,6,1,2,2,4,3,3,535,1,-5000,8,100.4176077
247,10,99,1,2,2,13,1,5,999,1,68000,2,100.4176077
248,88,99,1,1,1,88,1,5,999,1,41000,4,100.5223781
249,5,99,3,6,9,4,1,5,462,3,54000,7,100.111806
250,12,99,1,1,1,13,1,5,999,1,1,2,100.4279472
251,4,99,3,6,9,10,1,5,999,3,7000,5,100.4811749
252,10,99,1,2,2,4,1,5,825,1,61000,7,100.5951601
253,5,99,1,1,1,8,1,5,825,1,58000,7,100.5951601
254,7,99,1,2,2,5,1,5,535,1,27000,6,100.4176077
255,11,99,3,6,9,8,1,5,999,3,69000,3,100.111806
256,7,99,1,2,2,1,1,5,999,1,86000,8,100.4176077
257,7,99,1,1,1,13,1,5,999,1,63000,2,100.4811749
258,12,99,3,6,9,13,1,5,999,3,1,1,100.111806
259,11,99,1,1,1,8,1,5,999,1,55000,4,100.4176077
260,10,99,1,2,2,10,1,5,462,1,5000,5,100.111806
261,11,99,1,3,3,1,1,5,999,1,44000,7,100.111806
262,10,99,3,6,9,13,1,5,462,3,86000,2,100.111806
263,12,1,3,6,9,13,2,5,535,3,99999999,2,100.4176077
264,11,99,1,2,2,8,1,5,825,1,85000,5,100.5951601
265,8,99,3,6,9,13,1,5,999,3,38000,2,99.97458425
266,7,7,1,2,2,4,3,3,933,1,44000,7,100.4811749
267,12,99,3,6,9,13,1,5,999,3,99999999,2,99.97458425
268,12,99,1,1,1,8,1,5,999,1,99999999,5,100.4811749
269,4,99,3,6,9,5,3,3,535,3,23000,5,100.4176077
270,6,99,3,6,9,6,1,5,999,3,120000,7,100.4811749
271,88,6,1,2,2,13,2,5,462,1,29000,88,100.111806
272,7,99,1,2,2,10,1,5,999,1,49000,5,100.17917
273,11,99,1,2,2,88,1,5,999,1,110000,88,100.111806
274,11,1,3,6,9,13,2,5,999,3,99999999,2,100.4176077
275,88,3,1,2,2,88,2,8,999,1,99999999,88,100.4176077
276,12,99,3,6,9,5,1,5,535,3,949122,7,100.4176077
277,8,99,1,2,2,1,1,5,999,1,93000,8,100.4811749
278,11,99,3,6,9,13,1,5,999,3,48000,2,100.111806
279,11,99,1,1,1,7,1,5,999,1,62000,5,100.4176077
280,88,99,1,2,2,5,1,5,535,1,320000,88,100.4176077
281,9,7,1,3,3,5,3,3,933,1,57000,7,100.4811749
282,10,9,1,2,2,3,3,2,462,1,58000,8,100.111806
283,12,99,3,6,9,13,1,5,999,3,99999999,2,100.111806
284,6,99,3,6,9,8,1,5,835,3,81000,4,100.5951601
285,11,99,3,6,9,13,1,5,999,3,99999999,1,100.111806
286,13,99,1,1,1,13,1,5,999,1,99999999,1,100.111806
287,13,99,1,1,1,13,1,5,999,1,99999999,2,100.111806
288,12,99,3,6,9,13,1,5,999,3,99999999,1,100.111806
289,11,99,1,1,1,7,1,5,999,1,99999999,5,100.4176077
290,13,99,1,1,1,13,1,5,999,1,99999999,2,99.97458425
291,9,99,1,2,2,7,1,5,999,1,84000,3,100.4176077
292,13,99,1,3,3,13,1,5,999,1,99999999,1,100.111806
293,8,99,1,1,1,2,1,5,825,1,1000,5,100.5951601
294,5,99,1,1,1,88,1,5,999,1,6000,7,100.5223781
295,6,99,1,3,3,13,1,5,835,2,53000,2,100.5951601
296,11,99,1,2,2,13,1,5,999,1,41000,88,100.111806
297,13,9,3,6,9,13,2,5,462,3,99999999,2,100.111806
298,7,99,3,6,9,13,1,5,535,3,49000,1,100.4176077
299,12,5,1,1,1,2,2,2,933,1,99999999,4,100.4811749
300,13,99,3,6,9,10,1,5,999,3,99999999,5,100.5951601
301,5,99,1,1,1,3,1,5,535,1,43000,8,100.4176077
302,9,99,3,6,9,13,1,5,462,3,45000,1,100.111806
303,8,99,3,6,9,13,1,5,999,3,31000,1,100.4176077
304,9,1,2,5,3,5,2,5,462,2,95000,7,100.111806
305,11,99,1,1,1,2,1,5,999,1,99999999,5,100.4176077
306,6,99,1,1,1,8,1,5,999,1,73000,3,100.111806
307,12,99,1,3,3,10,1,5,535,1,8000,7,100.4176077
308,10,1,1,2,2,13,2,2,535,1,110000,2,100.4176077
309,13,99,1,1,1,13,1,5,999,1,99999999,1,100.4176077
310,7,99,1,2,2,8,1,5,999,1,99000,4,99.97458425
311,88,99,1,2,2,13,1,5,999,1,2000,88,100.4811749
312,11,99,3,6,9,13,1,5,999,3,99999999,2,100.5223781
313,11,99,1,1,1,8,1,5,999,1,46000,3,100.4811749
314,13,99,1,1,1,10,1,5,999,1,99999999,7,100.111806
315,11,1,1,1,1,13,3,2,535,1,99999999,1,100.4176077
316,12,99,3,6,9,13,1,5,462,3,99999999,2,100.111806
317,13,99,2,1,1,10,1,5,999,2,99999999,6,100.4176077
318,11,99,1,1,1,4,1,5,999,1,99999999,8,100.111806
319,13,99,3,6,9,8,1,5,933,3,1,7,100.4811749
320,13,99,1,1,1,4,1,5,999,1,6000,7,100.111806
321,12,8,1,1,1,13,2,5,999,1,99999999,1,100.4176077
322,12,99,3,6,9,13,1,5,999,3,99999999,1,100.111806
323,5,99,1,1,1,13,1,5,999,1,19000,2,100.9644705
324,5,99,3,7,9,13,1,5,933,3,99000,2,100.4811749
325,13,99,1,1,1,9,1,5,999,1,99999999,5,100.5951601
326,11,99,1,1,1,13,1,5,999,1,200000,2,100.4176077
327,13,99,3,6,9,13,1,5,999,3,99999999,1,99.97458425
328,7,99,3,7,9,13,1,5,999,3,10000,2,100.4176077
329,8,99,1,2,2,8,1,5,999,1,86000,5,100.4811749
330,6,99,1,2,2,4,1,5,535,1,28000,5,100.4176077
331,5,99,1,1,1,10,1,5,462,1,64000,5,100.111806
332,10,99,1,2,2,8,3,2,933,1,160000,8,100.4811749
333,11,99,1,1,1,13,1,5,999,1,3000,2,100.5951601
334,9,99,3,6,9,4,1,2,462,3,180000,7,100.111806
335,13,99,3,6,9,10,1,5,462,3,99999999,8,100.111806
336,10,99,1,2,2,5,1,5,999,1,22000,5,100.4176077
337,4,99,3,6,9,13,1,5,999,3,67000,1,100.111806
338,5,99,3,7,9,2,1,5,825,3,32000,5,100.5951601
339,88,99,1,2,2,13,1,5,999,1,21000,88,100.17917
340,11,6,1,1,1,10,2,4,462,1,29000,5,100.111806
341,12,99,1,1,1,4,1,5,999,1,6000,5,100.111806
342,12,99,1,1,1,8,1,5,999,1,99999999,4,100.5951601
343,5,3,1,2,2,13,3,2,825,1,36000,2,100.5951601
344,10,99,1,2,2,10,1,5,999,1,86000,88,100.4176077
345,5,99,1,1,1,5,1,5,462,1,35000,5,100.111806
346,5,99,3,7,9,9,1,5,933,3,1000,8,100.4811749
347,10,7,1,2,2,8,2,5,825,1,62000,8,100.5951601
348,12,99,1,1,1,11,1,5,999,1,99999999,4,100.111806
349,4,99,1,1,1,13,1,5,999,1,30000,2,100.4176077
350,10,4,2,2,2,88,2,3,999,2,84000,88,99.97458425
351,12,99,3,6,9,5,1,5,462,3,19000,8,100.111806
352,9,7,1,2,2,4,2,4,462,1,92000,8,100.111806
353,6,5,1,2,2,5,2,4,999,1,120000,7,100.4176077
354,9,8,1,2,2,10,2,5,999,1,42000,6,100.9644705
355,9,99,1,2,2,7,1,5,462,1,130000,7,100.111806
356,12,99,1,1,1,13,1,5,825,1,99999999,2,100.5951601
357,13,99,3,6,9,13,1,5,999,3,99999999,2,100.4176077
358,12,5,1,1,1,10,2,1,933,1,4000,6,100.4811749
359,6,99,3,6,9,13,1,5,999,3,10000,2,100.4176077
360,12,99,1,1,1,5,1,5,999,1,99999999,5,100.4176077
361,11,99,3,6,9,13,1,5,999,3,99999999,2,100.111806
362,11,88,3,88,8,5,8,8,535,1,17000,88,100.4176077
363,7,88,1,2,2,1,8,8,999,1,74000,5,100.5951601
364,11,99,1,2,2,8,1,5,535,1,95000,4,100.4176077
365,11,99,1,2,2,13,1,5,825,1,3000,2,100.5951601
366,4,99,3,7,9,13,1,5,462,3,16000,1,100.111806
367,6,99,1,3,3,2,1,5,999,1,77000,5,100.4279472
368,11,99,3,6,9,13,1,5,999,3,99999999,2,100.111806
369,12,99,1,1,1,13,1,5,999,1,99999999,2,100.5951601
370,4,99,3,6,9,8,1,5,999,3,62000,7,100.4176077
371,10,99,1,2,2,13,1,5,999,1,26000,1,100.111806
372,88,99,1,3,3,13,1,5,999,1,17000,88,100.4811749
373,11,99,3,6,9,13,1,5,835,3,55000,1,100.5951601
374,9,6,1,1,1,10,2,3,462,1,99999999,6,100.111806
375,11,99,1,2,2,13,1,5,999,1,23000,2,100.4811749
376,13,99,3,6,9,3,1,5,999,3,99999999,7,100.111806
377,12,99,1,2,2,13,1,5,999,1,99999999,1,100.4176077
378,88,7,1,2,2,8,2,5,999,1,32000,88,100.9644705
379,11,99,3,6,9,9,1,5,999,3,89000,4,100.4176077
380,9,6,1,2,2,5,2,5,999,1,37000,7,100.9644705
381,11,99,1,3,3,4,1,5,999,1,75000,7,100.4176077
382,8,99,3,6,9,11,1,5,835,3,130000,5,100.5951601
383,10,99,3,7,9,13,1,5,999,3,99999999,2,100.111806
384,11,5,1,3,3,10,2,4,825,1,100000,7,100.5951601
385,10,99,1,2,2,8,1,5,999,1,62000,5,100.4176077
386,11,8,1,3,3,1,2,4,999,1,30000,5,100.4811749
387,13,99,1,1,1,8,1,5,999,1,99999999,5,99.97458425
388,11,99,1,2,2,5,1,5,535,1,84000,5,100.4176077
389,9,99,1,1,1,5,1,5,999,1,30000,3,100.111806
390,11,88,1,2,2,5,8,8,999,1,29000,88,100.9644705
391,11,99,1,1,1,5,1,5,999,1,99999999,5,100.111806
392,12,1,3,6,9,8,2,2,999,3,99999999,4,100.4176077
393,3,99,3,6,9,13,1,5,999,3,99999999,1,100.9644705
394,11,99,1,2,2,8,1,5,462,1,49000,5,100.111806
395,9,99,1,2,2,4,1,5,535,1,99999999,7,100.4176077
396,13,99,1,1,1,1,1,5,999,1,99999999,8,100.9644705
397,88,99,1,88,8,13,1,5,999,1,16000,88,100.4279472
398,8,99,1,3,3,3,1,5,999,1,75000,7,100.111806
399,88,99,1,2,2,8,1,5,462,1,33000,3,100.111806
400,8,99,1,1,1,10,1,5,999,1,99999999,5,100.111806
401,8,5,1,2,2,3,2,5,462,1,29000,88,100.111806
402,8,99,1,2,2,10,1,5,999,1,170000,7,100.4811749
403,4,99,3,6,9,10,1,5,999,3,27000,5,100.111806
404,11,99,2,1,1,13,1,5,999,2,53000,2,100.17917
405,13,99,1,3,3,13,1,5,999,1,99999999,2,100.17917
406,10,99,3,6,9,8,1,5,825,3,52000,7,100.5951601
407,12,99,1,1,1,13,1,5,999,1,16000,1,100.111806
408,12,99,3,6,9,13,1,5,462,3,99999999,1,100.111806
409,88,5,1,3,3,13,2,5,999,1,47000,1,100.4176077
410,12,11,1,1,1,8,2,3,535,1,99999999,7,100.4176077
411,13,99,1,1,1,13,1,5,999,1,1000,2,100.5951601
412,88,99,2,5,3,13,1,5,999,2,1000,1,100.5951601
413,11,99,3,6,9,13,1,5,999,3,13000,2,100.4279472
414,8,99,1,2,2,8,1,5,999,1,52000,3,100.111806
415,10,99,1,2,2,5,1,5,999,1,32000,5,100.4811749
416,13,7,3,6,9,13,2,5,999,3,99999999,1,100.9644705
417,8,99,1,1,1,4,1,5,535,1,360000,7,100.4176077
418,13,4,1,1,1,5,3,2,933,1,99999999,6,100.4811749
419,5,99,1,1,1,13,1,5,999,1,50000,2,100.5951601
420,7,5,3,6,9,5,2,4,535,3,130000,8,100.4176077
421,5,99,1,2,2,10,1,5,999,1,9000,3,100.111806
